,place,lat,long
384,Lorong 1A Toa Payoh (Blk 139A),1.3362551,103.8438941
385,Lorong 1A Toa Payoh (Blk 139B),1.3366917,103.8440113
386,Lorong 2 Toa Payoh (Blk 143),1.3355404,103.8437653
387,Woodlands Street 83 (Blk 858),1.4404515,103.7943991
388,Woodlands Street 83 (Blk 863),1.4405455,103.7950927
389,Mcnair Road,1.32074555,103.8591089
390,Mcnair Road (Blk 108C),1.320799,103.859116
391,Mcnair Road (Blk 112),1.32113335,103.859421
392,Jurong East Street 24 (Blk 260),1.3437511,103.7402051
393,Jurong East Street 24 (Blk 261),1.3434721,103.739294
394,Jurong East Street 24 (Blk 264),1.3437999,103.7416066
395,Enterprise Road,1.3327486,103.7085228
396,Bishan Street 22 (Blk 247),1.3611071,103.8431298
397,Bishan Street 22 (Blk 254),1.362041,103.843129
398,Pasir Ris Street 71 (Blk 746),1.378661,103.935151
399,Pasir Ris Street 71 (Blk 748),1.3738103,103.9378766
400,Pasir Ris Street 71 (Blk 749),1.3738103,103.9378766
401,Pasir Ris Street 71 (Blk 751),1.3738103,103.9378766
402,Tah Ching Road (Blk 338A),1.3377707,103.722108
403,Tah Ching Road (Blk 338B),1.3368799,103.7221426
404,Tah Ching Road (Blk 339A),1.3375327,103.7230901
405,Ang Mo Kio Street 32 (Blk 352),1.36462,103.8510456
406,Defu South Street 1,1.3470472,103.897477
407,Depot Road (Blk 112A),1.2814637,103.8053762
408,Depot Road (Blk 114),1.2817803,103.8068407
409,Sin Ming Road (Blk 24),1.355295,103.836386
410,Sin Ming Road (Blk 25),1.3550462,103.8377032
411,Tuas South Avenue 1,1.32071865,103.6294849
412,Admiralty Link (Blk 484),1.456808,103.815286
413,Anchorvale Link (Blk 305C),1.388903,103.887898
414,Anchorvale Link (Blk 306B),1.3903818,103.8884414
415,Bukit Batok West Avenue 6 (Blk 186),1.3465199,103.7442
416,Bukit Batok West Avenue 6 (Blk 191),1.3455248,103.7454055
417,Lorong 30 Geylang,1.31149199,103.8863695
418,Old Choa Chu Kang Road,1.33013848,103.7884811
419,Punggol Walk (A Treasure Trove),1.40612935,103.9009653
420,Punggol Walk (Blk 271C),1.4040158,103.9011623
421,River Valley Road (Valley Park),1.295575,103.8380686
422,Rowell Road (Blk 640),1.3081061,103.8555542
423,Sin Ming Avenue (Blk 442),1.359283,103.832333
424,Sin Ming Avenue (Blk 455),1.3594861,103.829099
425,Strathmore Avenue (Blk 55),1.293022,103.809432
426,Strathmore Avenue (Blk 83),1.294796,103.8082282
427,Teban Gardens Road (Blk 31),1.35593511,103.828546
428,Teban Gardens Road (Blk 49),1.35578482,103.8282251
429,Jurong West Street 61 (Blk 656A),1.3354301,103.6993579
430,Jurong West Street 61 (Blk 656D),1.33582158,103.6988496
431,Penjuru Walk,1.31731495,103.7352967
432,Commonwealth Drive (Blk 50),1.3011139,103.7967996
433,Commonwealth Drive (Blk 52),1.3020555,103.7968956
434,Hillside Drive,1.3567928,103.8787477
435,Sirat Place,1.35815955,103.8753676
436,Woodlands Drive 62 (Blk 682B),1.4404468,103.8038258
437,Woodlands Drive 62 (Blk 683C),1.4411148,103.803302
438,Bukit Batok East Avenue 5 (Regent Heights),1.3521893,103.7555556
439,Gentle Road,1.31809723,103.8377083
440,Jalan Kurnia,1.34487255,103.8832651
441,Jalan Usaha,1.34479845,103.8823457
442,Jalan Papan,1.32018825,103.727354
443,Lorong 8 Toa Payoh (Blk 11),1.34016,103.854416
444,Lorong 8 Toa Payoh (Blk 233),1.34016,103.854416
445,Yishun Ring Road (Blk 108),1.432439,103.829077
446,Yishun Ring Road (Blk 109),1.432792,103.828645
447,Yishun Ring Road (Blk 138),1.4316241,103.8305987
448,Bedok North Avenue 1 (Blk 547A),1.3299385,103.9260931
449,Bedok North Street 3 (Blk 544),1.3303774,103.924331
450,Boon Lay Avenue (Blk 185),1.346391,103.710765
451,Boon Lay Drive (Blk 176),1.347033,103.7099909
452,Choa Chu Kang Avenue 4 (Blk 435),1.3851388,103.74105
453,Choa Chu Kang Avenue 4 (Blk 438),1.383424,103.739692
454,Choa Chu Kang Avenue 5 (Blk 485D),1.375259,103.738902
455,Choa Chu Kang Avenue 5 (Blk 489D),1.376037,103.740369
456,Geylang East Avenue 1 (Blk 124),1.3159852,103.884987
